Município;;2009;Pop.;2010;Pop.;2011;Pop.;2012;Pop.;2013;Pop.;2014;Pop.;2015;Pop.;2016;Pop.;2017;Pop.;2018;Pop.;Total
SANTA SALETE;3547650;-;1.446;-;1447;-;1.452;-;1.458;-;1.511;-;1.517;1;1.523;-;1.530;1; 1.536 ;1;1.539;3
SANTANA DA PONTE PENSA;3547205;-;1.616;-;1641;1;1.622;-;1.603;-;1.629;1;1.610;-;1.591;-;1.573;1; 1.555 ;-;1.507;3
SANTANA DO PARNAÍBA;3547304;40;114.321;34;108875;44;111.422;29;113.945;38;120.998;38;123.825;46;126.574;48;129.261;47; 131.887 ;43;136.517;407
SANTO ANASTÁCIO;3547700;9;21.222;11;20498;4;20.454;5;20.434;4;21.059;12;21.051;5;21.044;9;21.037;3; 21.030 ;6;20.889;68
SANTO ANDRÉ;3547809;203;673.396;222;673914;255;678.485;238;680.496;227;704.942;237;707.613;218;710.210;235;712.749;239; 715.231 ;236;716.109;2310
SANTO ANTÔNIO DA ALEGRIA;3547908;1;6.346;1;6304;1;6.345;-;6.386;2;6.644;1;6.692;1;6.739;-;6.785;-; 6.829 ;1;6.880;8
SANTO ANTÔNIO DE POSSE;3548005;8;21.247;14;20635;8;20.844;8;21.032;3;21.957;3;22.176;6;22.389;5;22.597;3; 22.801 ;3;23.085;61
SANTO ANTÔNIO DO ARACANGUÁ;3548054;1;7.335;1;7627;-;7.679;2;7.732;1;8.048;-;8.109;2;8.169;-;8.228;3; 8.285 ;-;8.356;10
SANTO ANTÔNIO DO JARDIM;3548104;-;5.785;1;5943;-;5.927;-;5.912;-;6.078;-;6.065;-;6.053;-;6.041;2; 6.029 ;-;5.968;3
SANTO ANTÔNIO DO PINHAL;3548203;-;6.896;-;6516;-;6.498;-;6.510;-;6.733;1;6.750;-;6.767;-;6.784;-; 6.800 ;-;6.794;1
SANTO EXPEDITO;3548302;3;2.956;2;2806;2;2.824;-;2.845;-;2.963;-;2.988;-;3.011;-;3.035;1; 3.057 ;2;3.086;10
SANTÓPOLIS DO AGUAPEÍ;3548401;-;4.234;1;4281;-;4.312;1;4.347;1;4.532;-;4.572;1;4.611;1;4.650;-; 4.687 ;2;4.736;7
SANTOS;3548500;359;417.098;368;419757;382;419.509;347;419.614;395;433.153;438;433.565;406;433.966;430;434.359;407; 434.742 ;440;432.957;3972
SÃO BENTO DO SAPUCAÍ;3548609;2;10.966;1;10462;-;10.477;-;10.486;2;10.831;1;10.848;-;10.864;2;10.880;-; 10.895 ;2;10.862;10
SÃO BERNARDO DO CAMPO;3548708;205;810.979;230;765203;228;770.253;231;774.886;238;805.895;212;811.489;230;816.925;252;822.242;281; 827.437 ;288;833.240;2395
SÃO CAETANO DO SUL;3548807;31;152.093;28;149571;33;149.962;36;150.638;31;156.362;35;157.205;18;158.024;24;158.825;22; 159.608 ;35;160.275;293
SÃO CARLOS;3548906;48;220.463;58;221936;70;224.172;83;226.322;72;236.457;54;238.958;70;241.389;58;243.765;54; 246.088 ;62;249.415;629
SÃO FRANCISCO;3549003;2;2.894;-;2793;-;2.788;2;2.783;3;2.864;1;2.861;1;2.857;1;2.854;2; 2.850 ;1;2.826;13
SÃO JOÃO DA BOA VISTA;3549102;18;83.909;9;83661;8;84.119;9;84.584;15;87.912;17;88.477;17;89.027;9;89.564;23; 90.089 ;14;90.637;139
SÃO JOÃO DAS DUAS PONTES;3549201;1;2.630;2;2566;-;2.559;2;2.552;1;2.624;1;2.618;1;2.612;1;2.607;-; 2.601 ;-;2.574;9
SÃO JOÃO DE IRACEMA;3549250;3;1.810;1;1780;-;1.788;-;1.797;-;1.865;-;1.875;-;1.885;-;1.894;1; 1.904 ;1;1.912;6
SAO JOAO DO PAU D'ALHO;3549300;-;2.191;1;2103;1;2.097;-;2.092;-;2.150;3;2.145;1;2.141;1;2.136;2; 2.132 ;-;2.111;9
SÃO JOAQUIM DA BARRA;3549409;8;46.172;16;46524;14;46.890;15;47.256;9;49.259;5;49.690;10;50.110;7;50.520;8; 50.921 ;9;51.447;101
SÃO JOSÉ DA BELA VISTA;3549508;-;8.513;-;8407;-;8.431;2;8.456;2;8.759;2;8.791;1;8.823;-;8.854;-; 8.885 ;-;8.895;7
SÃO JOSÉ DO BARREIRO;3549607;-;4.490;1;4097;1;4.072;-;4.068;2;4.190;3;4.188;-;4.185;-;4.183;2; 4.181 ;-;4.151;9
SÃO JOSÉ DO RIO PARDO;3549706;11;53.281;4;51910;4;52.040;6;52.176;8;54.024;7;54.209;5;54.388;6;54.563;11; 54.734 ;7;54.763;69
SÃO JOSÉ DO RIO PRETO;3549805;134;419.632;121;408435;159;412.075;162;415.769;156;434.039;166;438.354;146;442.548;160;446.649;140; 450.657 ;132;456.245;1476
SÃO JOSÉ DOS CAMPOS;3549904;180;615.871;168;627544;181;636.876;190;643.603;181;673.255;175;681.036;199;688.597;173;695.992;206; 703.219 ;230;713.943;1883
SÃO LOURENÇO DA SERRA;3549953;2;18.319;4;13985;-;14.109;3;14.241;7;14.874;2;15.028;5;15.177;7;15.323;5; 15.465 ;5;15.667;40
SÃO LUÍS DO PARAITINGA;3550001;1;10.908;5;10404;4;10.395;-;10.393;1;10.721;-;10.726;-;10.731;1;10.735;6; 10.740 ;1;10.684;19
SÃO MANUEL;3550100;16;39.696;10;38390;17;38.480;22;38.614;11;40.027;14;40.200;5;40.367;11;40.532;6; 40.692 ;7;40.781;119
SÃO MIGUEL ARCANJO;3550209;3;31.329;4;31452;8;31.500;2;31.549;4;32.621;4;32.696;3;32.769;10;32.840;10; 32.910 ;6;32.859;54
SÃO PAULO;3550308;6872;11.037.593;6907;11244369;7195;11.316.149;6738;11.376.685;7029;11.821.873;7339;11.895.893;7542;11.967.825;6780;12.038.175;7598; 12.106.920 ;7900;12.176.866;71900
SÃO PEDRO;3550407;5;31.575;7;31688;7;31.951;5;32.231;7;33.638;6;33.966;9;34.284;4;34.595;6; 34.898 ;4;35.318;60
SÃO PEDRO DO TURVO;3550506;2;7.439;3;7208;1;7.222;1;7.245;2;7.508;-;7.538;1;7.567;3;7.596;4; 7.624 ;-;7.636;17
SÃO ROQUE;3550605;12;67.715;20;78873;34;79.756;29;80.661;18;84.460;18;85.502;20;86.515;24;87.506;18; 88.473 ;12;89.943;205
SÃO SEBASTIÃO;3550704;45;73.631;42;73833;43;75.163;51;76.344;74;80.379;57;81.718;48;83.020;46;84.294;43; 85.538 ;60;87.596;509
SÃO SEBASTIÃO DA GRAMA;3550803;1;12.990;-;12100;-;12.072;2;12.046;3;12.394;2;12.374;2;12.355;6;12.335;1; 12.317 ;2;12.205;19
SÃO SIMÃO;3550902;3;14.329;2;14350;4;14.398;1;14.448;2;14.976;2;15.041;1;15.104;4;15.165;6; 15.225 ;-;15.257;25
SÃO VICENTE;3551009;405;330.795;410;332424;445;334.663;432;336.809;427;350.465;518;353.040;547;355.542;553;357.989;645; 360.380 ;629;363.173;5011
SARAPUÍ;3551108;1;8.601;-;9027;1;9.121;-;9.212;-;9.628;1;9.734;1;9.836;2;9.936;1; 10.034 ;1;10.177;8
SARUTAIÁ;3551207;-;3.790;1;3622;2;3.613;-;3.605;1;3.707;2;3.700;1;3.694;2;3.687;1; 3.681 ;1;3.646;11
SEBASTIANÓPOLIS DO SUL;3551306;-;3.109;-;3031;1;3.068;-;3.105;2;3.252;-;3.293;1;3.334;-;3.373;-; 3.411 ;-;3.470;4
SERRA AZUL;3551405;14;10.121;24;11259;22;11.548;30;11.832;44;12.592;28;12.908;37;13.216;41;13.516;29; 13.810 ;37;14.334;306
SERRA NEGRA;3551603;4;25.912;7;26362;7;26.582;4;26.770;6;27.879;3;28.103;4;28.321;4;28.534;7; 43.790 ;3;44.555;49
SERRANA;3551504;10;39.574;10;38891;12;39.360;6;39.826;12;41.728;8;42.264;6;42.784;7;43.293;11; 28.742 ;8;29.001;90
SERTÃOZINHO;3551702;31;110.999;35;110094;29;111.257;24;112.401;36;117.539;40;118.864;32;120.152;42;121.412;47; 122.643 ;55;124.453;371
SETE BARRAS;3551801;6;13.148;4;13006;5;12.951;8;12.898;3;13.239;7;13.190;3;13.144;4;13.098;4; 13.053 ;11;12.884;55
SEVERÍNIA;3551900;6;15.707;4;15504;1;15.647;3;15.788;4;16.482;4;16.646;4;16.806;6;16.962;3; 17.115 ;4;17.328;39
SILVEIRAS;3552007;1;5.841;-;5792;1;5.824;-;5.855;2;6.083;-;6.121;-;6.158;-;6.193;3; 6.228 ;-;6.264;7
SOCORRO;3552106;2;34.447;7;36695;3;36.992;7;37.288;6;38.878;4;39.227;8;39.565;8;39.896;8; 40.220 ;10;40.648;63
SOROCABA;3552205;218;584.313;226;586311;243;593.775;230;600.692;243;629.231;231;637.187;233;644.919;225;652.481;228; 659.871 ;256;671.186;2333
SUD MENNUCCI;3552304;-;8.141;1;7440;1;7.440;-;7.446;1;7.691;1;7.702;1;7.712;2;7.723;-; 7.733 ;-;7.708;7
SUMARÉ;3552403;64;241.077;57;241437;81;244.733;64;246.247;74;258.556;71;262.308;74;265.955;68;269.522;72; 273.007 ;74;278.571;699
SUZANÁPOLIS;3552551;1;3.805;2;3383;-;3.429;-;3.473;1;3.642;-;3.693;-;3.742;-;3.790;-; 290.769 ;2;294.638;6
SUZANO;3552502;99;284.356;89;262568;88;265.074;119;267.583;112;279.520;114;282.441;118;285.280;116;288.056;119; 3.836 ;125;3.911;1099
TABAPUÃ;3552601;-;11.980;3;11366;1;11.430;4;11.495;4;11.949;-;12.027;3;12.103;-;12.178;1; 12.251 ;1;12.328;17
TABATINGA;3552700;6;14.876;3;14686;1;14.816;4;14.943;2;15.590;3;15.738;1;15.881;3;16.021;4; 16.159 ;3;16.345;30
TABOÃO DA SERRA;3552809;123;227.343;127;244719;137;248.127;105;251.608;139;264.352;114;268.321;138;272.177;114;275.948;147; 279.634 ;129;285.570;1273
TACIBA;3552908;1;5.675;2;5714;-;5.752;3;5.789;3;6.023;1;6.067;-;6.110;-;6.152;-; 6.193 ;-;6.240;10
TAGUAÍ;3553005;-;10.849;2;10825;2;11.086;2;11.336;2;12.034;-;12.314;-;12.586;4;12.851;1; 13.111 ;4;13.569;17
TAIAÇU;3553104;1;6.093;2;5894;1;5.915;2;5.936;3;6.153;-;6.179;-;6.205;-;6.230;2; 6.255 ;4;6.268;15
TAIÚVA;3553203;1;5.505;-;5447;-;5.442;1;5.439;1;5.606;1;5.605;1;5.605;1;5.604;3; 5.603 ;-;5.568;9
TAMBAÚ;3553302;5;22.575;4;22410;-;22.417;1;22.429;4;23.159;5;23.187;1;23.214;5;23.241;5; 23.267 ;4;23.182;34
TANABI;3553401;5;24.591;5;24055;4;24.168;10;24.277;7;25.199;9;25.335;1;25.467;4;25.597;5; 25.723 ;7;25.830;57
TAPIRAÍ;3553500;3;7.991;3;8015;-;7.969;-;7.928;1;8.125;-;8.085;-;8.047;1;8.010;4; 7.973 ;-;7.850;12
TAPIRATIBA;3553609;2;12.410;1;12743;1;12.721;-;12.707;1;13.091;1;13.084;-;13.076;-;13.069;-; 13.062 ;-;12.970;6
TAQUARAL;3553658;-;2.974;-;2726;-;2.726;1;2.727;-;2.814;2;2.817;1;2.819;-;2.821;6; 2.823 ;-;2.810;10
TAQUARITINGA;3553708;9;55.662;12;53985;9;54.136;9;54.279;16;56.204;21;56.398;6;56.587;5;56.771;12; 56.951 ;11;56.984;110
TAQUARITUBA;3553807;2;23.060;6;22294;4;22.315;4;22.338;2;23.083;6;23.123;20;23.163;21;23.202;53; 23.240 ;31;23.180;149
TAQUARIVAÍ;3553856;-;5.541;4;5149;-;5.203;2;5.254;1;5.489;4;5.548;1;5.605;-;5.660;3; 5.715 ;1;5.792;16
TARABAÍ;3553906;3;6.464;1;6605;-;6.670;2;6.731;1;7.028;2;7.099;-;7.168;4;7.236;1; 7.302 ;1;7.395;15
TARUMÃ;3553955;1;13.386;1;12883;1;13.049;4;13.209;3;13.845;3;14.027;4;14.205;6;14.378;3; 14.547 ;1;14.812;27
TATUÍ;3554003;25;109.017;33;107975;24;108.393;29;109.425;33;114.314;37;115.515;14;116.682;20;117.823;34; 118.939 ;33;120.533;282
TAUBATÉ;3554102;97;273.426;115;278724;94;281.336;126;283.899;112;296.431;110;299.423;102;302.331;117;305.174;125; 307.953 ;111;311.854;1109
TEJUPÁ;3554201;-;5.067;-;4809;2;4.769;2;4.730;6;4.828;2;4.788;1;4.750;1;4.713;-; 4.677 ;1;4.574;15
TEODORO SAMPAIO;3554300;2;21.202;4;21389;5;21.492;-;21.595;5;22.424;6;22.551;4;22.675;1;22.795;2; 22.914 ;3;23.019;32
TERRA ROXA;3554409;-;8.619;1;8505;3;8.563;-;8.619;1;8.969;1;9.036;1;9.101;3;9.164;2; 9.227 ;2;9.302;14
TIETÊ;3554508;4;36.211;4;36827;4;37.228;8;37.609;7;39.324;11;39.765;7;40.194;7;40.613;11; 41.022 ;4;41.622;67
TIMBURI;3554607;-;2.548;-;2646;1;2.639;-;2.634;-;2.709;-;2.704;1;2.699;-;2.695;2; 2.690 ;-;2.663;4
TORRE DE PEDRA;3554656;-;3.149;1;2257;1;2.262;-;2.271;1;2.354;2;2.365;2;2.375;2;2.385;-; 2.395 ;-;2.401;9
TORRINHA;3554706;-;9.278;1;9330;-;9.368;-;9.405;-;9.754;3;9.801;1;9.846;1;9.890;2; 9.934 ;1;9.963;9
TRABIJU;3554755;1;1.519;-;1544;-;1.557;1;1.569;-;1.635;-;1.650;-;1.664;-;1.677;1; 1.691 ;1;1.709;4
TREMEMBÉ;3554805;57;41.159;50;40985;62;41.457;49;41.915;61;43.871;66;44.399;70;44.912;106;45.414;123; 45.904 ;96;46.642;740
TRÊS FRONTEIRAS;3554904;1;5.163;1;5428;1;5.448;1;5.468;1;5.669;1;5.694;-;5.719;2;5.743;1; 5.767 ;-;5.781;9
TUIUTI;3554953;1;6.284;1;5935;-;6.005;2;6.078;2;6.369;-;6.452;-;6.533;1;6.612;1; 6.689 ;2;6.808;10
TUPÃ;3555000;30;64.098;24;63492;22;63.487;25;63.498;20;65.540;23;65.596;20;65.651;13;65.705;18; 65.758 ;13;65.477;208
TUPI PAULISTA;3555109;20;14.389;14;14262;15;14.344;14;14.418;39;14.976;26;15.066;26;15.153;32;15.238;80; 15.321 ;72;15.404;338
TURIÚBA;3555208;1;2.040;-;1927;-;1.933;1;1.936;-;2.000;-;2.005;-;2.009;-;2.013;-; 2.016 ;-;2.012;2
TURMALINA;3555307;-;1.958;-;1978;1;1.948;-;1.920;-;1.942;-;1.912;1;1.883;-;1.854;-; 1.827 ;-;1.759;2
UBARANA;3555356;2;4.855;3;5286;3;5.371;1;5.451;2;5.732;2;5.822;3;5.910;2;5.996;1; 6.080 ;4;6.216;23
UBATUBA;3555406;43;81.096;36;78870;35;79.717;41;80.604;39;84.377;57;85.399;50;86.392;36;87.364;38; 88.313 ;49;89.747;424
UBIRAJARA;3555505;-;4.472;-;4429;-;4.448;-;4.468;-;4.637;1;4.662;-;4.687;-;4.711;-; 4.734 ;3;4.754;4
UCHOA;3555604;-;9.818;2;9475;1;9.504;4;9.537;1;9.885;-;9.927;3;9.968;5;10.008;2; 10.047 ;4;10.068;22
UNIÃO PAULISTA;3555703;-;1.522;1;1599;2;1.618;1;1.636;1;1.712;1;1.733;-;1.754;1;1.773;1; 1.793 ;1;1.823;9
URÂNIA;3555802;3;9.007;2;8836;-;8.837;-;8.838;3;9.121;4;9.128;4;9.135;5;9.141;4; 9.148 ;1;9.108;26
URU;3555901;-;1.395;-;1251;-;1.239;1;1.228;-;1.252;-;1.240;-;1.229;1;1.218;-; 1.207 ;-;1.177;2
URUPÊS;3556008;1;12.388;-;12720;-;12.782;-;12.848;1;13.345;-;13.426;-;13.504;1;13.580;2; 13.655 ;-;13.727;5
VALENTIM GENTIL;3556107;-;10.082;3;11031;-;11.223;2;11.404;-;12.012;1;12.217;-;12.416;-;12.610;3; 12.800 ;3;13.115;12
VALINHOS;3556206;18;107.481;13;106968;18;108.621;24;110.390;21;116.308;19;118.312;11;120.258;6;122.163;8; 124.024 ;20;127.123;158
VALPARAÍSO;3556305;34;22.514;48;22617;37;22.883;53;23.181;29;24.323;43;24.663;32;24.993;69;25.316;95; 25.632 ;53;26.130;493
VARGEM;3556354;1;7.098;-;8801;2;8.941;-;9.077;2;9.550;2;9.704;1;9.854;-;10.000;1; 10.143 ;2;10.378;11
VARGEM GRANDE DO SUL;3556404;11;39.160;8;39266;6;39.494;12;39.714;6;41.279;5;41.547;5;41.807;5;42.061;8; 42.310 ;6;42.573;72
VARGEM GRANDE PAULISTA;3556453;9;44.754;7;42946;10;43.789;12;44.555;24;47.013;18;47.879;9;48.720;12;49.542;14; 50.346 ;17;51.702;132
VÁRZEA PAULISTA;3556503;28;107.211;36;107146;33;108.186;35;109.247;40;114.170;38;115.403;29;116.601;30;117.772;46; 118.917 ;40;120.572;355
VERA CRUZ;3556602;3;9.952;-;10769;3;10.745;1;10.722;5;11.032;6;11.014;2;10.997;5;10.980;4; 10.963 ;3;10.864;32
VINHEDO;3556701;6;63.729;10;63685;17;64.869;10;66.087;13;69.845;16;71.217;11;72.550;13;73.855;10; 75.129 ;16;77.308;122
VIRADOURO;3556800;5;18.110;-;17307;1;17.399;1;17.499;3;18.191;1;18.311;2;18.428;1;18.542;5; 18.654 ;10;18.775;29
VISTA ALEGRE DO ALTO;3556909;-;6.874;1;6889;1;7.050;3;7.208;-;7.652;2;7.830;-;8.002;-;8.171;3; 8.335 ;1;8.626;11
VITÓRIA BRASIL;3556958;-;1.662;1;1737;2;1.742;-;1.747;-;1.809;-;1.815;1;1.821;1;1.827;-; 1.833 ;-;1.834;5
VOTORANTIM;3557006;42;105.193;38;108872;37;109.798;40;110.755;49;115.585;23;116.706;30;117.794;42;118.858;38; 119.898 ;47;121.331;386
VOTUPORANGA;3557105;20;81.279;29;84728;20;85.387;18;86.059;20;89.715;14;90.508;16;91.278;20;92.032;10; 92.768 ;19;93.736;186
ZACARIAS;3557154;1;2.427;-;2334;-;2.365;-;2.394;-;2.509;-;2.542;-;2.574;-;2.605;2; 2.636 ;-;2.684;3
;TOTAL;17807;;18178;;19045;;18641;;19481;;19995;;20334;;19629;;22019;;22225;;197354
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
